dosya,kaynak_url,lisans,yazar,indirme_tarihi,not
rain__freesound_200270.flac,https://freesound.org/people/jmbphilmes/sounds/200270/,CC0,jmbphilmes,2026-09-06,rain temasi ana katman
distant_thunder__freesound_361401.flac,https://freesound.org/people/richwise/sounds/361401/,CC0,richwise,2026-09-06,rain temasi katman
light_wind__freesound_670307.flac,https://freesound.org/people/bruno.auzet/sounds/670307/,CC0,bruno.auzet,2026-09-06,rain temasi katman
waves__freesound_451743.mp3,https://freesound.org/people/richwise/sounds/451743/,CC0,richwise,2026-09-07,ocean_waves ana katman
fireplace__freesound_496130.flac,https://freesound.org/people/petebuchwald/sounds/496130/,CC0,petebuchwald,2026-09-08,fireplace ana katman
stream__freesound_512224.flac,https://freesound.org/people/prodmultimediashqi/sounds/512224/,CC0,prodmultimediashqi,2026-09-08,stream ana katman
birdsong__freesound_674085.flac,https://freesound.org/people/felixblume/sounds/674085/,CC0,felixblume,2026-09-08,forest_birds ana katman; stream temasinda da katman
leaves_wind__freesound_670307.flac,https://freesound.org/people/bruno.auzet/sounds/670307/,CC0,bruno.auzet,2026-09-08,670307 kopyasi - forest_birds ve stream katmani
heavy_rain__freesound_522901.flac,https://freesound.org/people/richwise/sounds/522901/,CC0,richwise,2026-09-08,thunderstorm ana katman
thunder__freesound_361401.flac,https://freesound.org/people/richwise/sounds/361401/,CC0,richwise,2026-09-08,361401 kopyasi - thunderstorm katmani
crickets__freesound_479041.flac,https://freesound.org/people/felixblume/sounds/479041/,CC0,felixblume,2026-09-08,night_crickets ana katman
night_wind__freesound_670307.flac,https://freesound.org/people/bruno.auzet/sounds/670307/,CC0,bruno.auzet,2026-09-08,670307 kopyasi - night_crickets katmani
BebasNeue-Regular.ttf,https://fonts.google.com/specimen/Bebas+Neue,SIL OFL 1.1,Dharma Type,2026-09-06,thumbnail ust satir fontu
Inter-SemiBold.ttf,https://fonts.google.com/specimen/Inter,SIL OFL 1.1,Inter Project Authors,2026-09-06,thumbnail alt satir fontu
logo.png,,kendi uretimimiz,Quiet Meadow,2026-09-06,kanal logosu
OFL-BebasNeue.txt,https://github.com/google/fonts/blob/main/ofl/bebasneue/OFL.txt,SIL OFL 1.1,Dharma Type,2026-09-06,Bebas Neue lisans metni
OFL-Inter.txt,https://github.com/rsms/inter/blob/master/LICENSE.txt,SIL OFL 1.1,Inter Project Authors,2026-09-06,Inter lisans metni
